,mass
13165,0.0
21085,0.0
48363,2183017.689178025
13149,0.0
01079,0.0
28093,3995034.7526902924
20025,0.0
20081,0.0
22013,2252202.48356397
13295,0.0
27167,566480.4761592419
17157,0.0
23011,5068451.460732166
51173,3125294.4792194217
35041,0.0
42111,1924028.299608729
51191,5699047.67217882
37081,50062977.3351186
16001,17030243.995394386
40039,2989883.733478913
39101,0.0
17149,1425860.031651291
17203,1995737.8034597407
13245,8382070.072310363
18167,1828964.9923390325
18039,2026416.4053875878
51077,0.0
48303,3170885.424415469
27093,0.0
53037,10168293.971843768
18135,0.0
49025,0.0
27113,0.0
53073,4798368.055608433
41021,1783170.551970065
34029,1709778.720639041
05009,0.0
40031,2290200.3162972364
48253,0.0
48185,0.0
26049,21483516.103495374
22007,0.0
28013,0.0
28041,0.0
29059,0.0
51143,0.0
20145,0.0
20209,13422665.996330582
12029,0.0
26157,0.0
20065,0.0
22097,4353319.739021832
47055,2571162.06567472
39095,13640404.91602997
05093,2589999.2494253134
28043,1002349.2829168442
21213,3932380.0060038315
50013,0.0
39029,0.0
51125,230732.450688
12097,5591838.380234141
05053,168515.8152
18033,2318341.323929658
22073,5135948.643845197
22095,4316656.298373715
22091,0.0
29197,0.0
01059,0.0
21041,2375410.226728713
08019,6242762.97636676
48267,2100559.5007216823
46027,0.0
10005,0.0
13159,0.0
29175,0.0
20015,2360753.4500345513
48209,18600824.162108205
53015,12298765.475289755
48297,3714450.6476235744
31091,0.0
51147,0.0
49007,0.0
42017,3969488.752344022
46059,0.0
42081,951980.7832123722
16057,0.0
13237,0.0
51640,0.0
35037,4126956.058413781
48269,0.0
05073,0.0
48451,0.0
21031,0.0
56005,1354631.074936084
13211,3205994.9851766946
05037,0.0
05107,0.0
22093,1194520.8735838386
19061,0.0
51075,4354500.275998809
20181,1497424.776902353
39139,5881861.949325892
17001,688520.2474572608
39021,0.0
33019,1036614.8653845474
17075,2435968.4426942253
19157,2450650.9099992304
39169,2344657.3324048724
13113,0.0
13141,0.0
48259,2589602.3144049123
36039,2910364.592008133
51137,0.0
40089,0.0
13277,6162106.727211958
31025,3992860.2173273345
46077,0.0
56009,2044473.5471496908
36043,2041475.617250731
38047,0.0
26053,0.0
27005,0.0
01095,0.0
28157,0.0
20179,0.0
28079,0.0
28025,0.0
28037,0.0
19015,0.0
48373,0.0
31051,0.0
24025,13018144.78338654
45037,0.0
51001,0.0
47173,0.0
54057,0.0
55003,0.0
17053,401874.80224053416
38029,0.0
06089,9455994.34452784
22113,0.0
05121,0.0
55085,0.0
22035,0.0
22037,0.0
22087,0.0
48481,0.0
48153,0.0
21151,9008811.3020803
51025,2103717.3510510717
47045,836617.5092340132
47053,0.0
51149,3736291.6351824594
05075,0.0
38027,0.0
53053,27776561.182942405
23023,1754605.0015130294
30097,1471528.857103959
48181,0.0
42059,1574980.3673661451
20051,1682295.7374490064
01065,0.0
01105,0.0
01033,0.0
20151,0.0
21017,0.0
47149,29168400.360398274
13075,6089926.057656026
20101,0.0
40059,0.0
17147,1632795.813766475
48107,0.0
08009,0.0
16021,0.0
16007,0.0
39159,0.0
39035,85729783.1453263
48285,0.0
40105,0.0
13125,0.0
41059,4732399.342458887
46102,0.0
18035,2508162.9118288015
12075,0.0
28045,3410022.9029963803
13315,0.0
22081,0.0
47093,45908795.47877691
23017,0.0
25021,45198264.037760675
18063,4084499.4730165424
17077,0.0
45043,0.0
38041,0.0
49019,2754808.009432355
49045,4301571.606077191
51650,13115306.958595837
55011,0.0
51069,5960567.613659089
54041,1898003.2582348313
27119,0.0
27127,0.0
47047,3129339.560746671
41041,0.0
23031,11921931.332635302
46029,758755.7643343143
13231,0.0
13259,0.0
34025,3333595.1680988814
05021,0.0
05045,6362567.249574355
40041,0.0
19107,0.0
17061,0.0
27075,0.0
13285,5777164.34228439
06023,0.0
47043,3423832.931582375
54081,5011392.715116236
35005,0.0
35049,5797237.4233469125
06059,219459395.0990869
04023,2739640.372923604
37053,0.0
17101,0.0
31181,0.0
17067,0.0
46067,0.0
41013,0.0
50011,1155066.2598105152
26103,0.0
37057,16272672.480321854
17025,32366.002528766257
29103,0.0
29117,0.0
42117,0.0
31043,241013.2824314
26089,0.0
51181,0.0
29135,0.0
51193,0.0
37197,1961259.146084567
06047,5616608.67133543
40043,0.0
37023,5503601.456782674
