id,date,confirmed,deaths,recovered,tests,vaccines,people_vaccinated,people_fully_vaccinated,hosp,icu,vent,school_closing,workplace_closing,cancel_events,gatherings_restrictions,transport_closing,stay_home_restrictions,internal_movement_restrictions,international_movement_restrictions,information_campaigns,testing_policy,contact_tracing,facial_coverings,vaccination_policy,elderly_people_protection,government_response_index,stringency_index,containment_health_index,economic_support_index,administrative_area_level,administrative_area_level_1,administrative_area_level_2,administrative_area_level_3,latitude,longitude,population,iso_alpha_3,iso_alpha_2,iso_numeric,iso_currency,key_local,key_google_mobility,key_apple_mobility,key_jhu_csse,key_nuts,key_gadm
00cd1936,2020-08-12,58,,32,,,,,,,,3,-3,2,4,1,-2,2,4,2,2,2,4,0,-3,-80.21,-87.04,-80.95,-75.0,2,Colombia,"Archipiélago de San Andrés Providencia y Santa Catalina",,13.353055955,-81.375278475,61280,COL,CO,170,COU,88,ChIJ4fBdUFXSBI8RKYUk0Gcbqkg,,COSAP,,COL.26_1
00cd1936,2020-08-13,62,,,,,,,,,,3,-3,2,4,1,-2,2,4,2,2,2,4,0,-3,-80.21,-87.04,-80.95,-75.0,2,Colombia,"Archipiélago de San Andrés Providencia y Santa Catalina",,13.353055955,-81.375278475,61280,COL,CO,170,COU,88,ChIJ4fBdUFXSBI8RKYUk0Gcbqkg,,COSAP,,COL.26_1
00cd1936,2020-08-14,64,,,,,,,,,,3,-3,2,4,1,-2,2,4,2,2,2,4,0,-3,-80.21,-87.04,-80.95,-75.0,2,Colombia,"Archipiélago de San Andrés Providencia y Santa Catalina",,13.353055955,-81.375278475,61280,COL,CO,170,COU,88,ChIJ4fBdUFXSBI8RKYUk0Gcbqkg,,COSAP,,COL.26_1
00cd1936,2020-08-15,71,,36,,,,,,,,3,-3,2,4,1,-2,2,4,2,2,2,4,0,-3,-80.21,-87.04,-80.95,-75.0,2,Colombia,"Archipiélago de San Andrés Providencia y Santa Catalina",,13.353055955,-81.375278475,61280,COL,CO,170,COU,88,ChIJ4fBdUFXSBI8RKYUk0Gcbqkg,,COSAP,,COL.26_1
00cd1936,2020-08-16,81,,38,,,,,,,,3,-3,2,4,1,-2,2,4,2,2,2,4,0,-3,-80.21,-87.04,-80.95,-75.0,2,Colombia,"Archipiélago de San Andrés Providencia y Santa Catalina",,13.353055955,-81.375278475,61280,COL,CO,170,COU,88,ChIJ4fBdUFXSBI8RKYUk0Gcbqkg,,COSAP,,COL.26_1
00cd1936,2020-08-17,98,,39,,,,,,,,3,-3,2,4,1,-2,2,4,2,2,2,4,0,-3,-80.21,-87.04,-80.95,-75.0,2,Colombia,"Archipiélago de San Andrés Providencia y Santa Catalina",,13.353055955,-81.375278475,61280,COL,CO,170,COU,88,ChIJ4fBdUFXSBI8RKYUk0Gcbqkg,,COSAP,,COL.26_1
00cd1936,2020-08-18,99,,40,,,,,,,,3,-3,2,4,1,-2,2,4,2,2,2,4,0,-3,-80.21,-87.04,-80.95,-75.0,2,Colombia,"Archipiélago de San Andrés Providencia y Santa Catalina",,13.353055955,-81.375278475,61280,COL,CO,170,COU,88,ChIJ4fBdUFXSBI8RKYUk0Gcbqkg,,COSAP,,COL.26_1
00cd1936,2020-08-19,111,2,,,,,,,,,3,-3,2,4,1,-2,2,4,2,2,2,4,0,-3,-80.21,-87.04,-80.95,-75.0,2,Colombia,"Archipiélago de San Andrés Providencia y Santa Catalina",,13.353055955,-81.375278475,61280,COL,CO,170,COU,88,ChIJ4fBdUFXSBI8RKYUk0Gcbqkg,,COSAP,,COL.26_1
00cd1936,2020-08-20,114,,44,,,,,,,,3,-3,2,4,1,-2,2,4,2,2,2,4,0,-3,-80.21,-87.04,-80.95,-75.0,2,Colombia,"Archipiélago de San Andrés Providencia y Santa Catalina",,13.353055955,-81.375278475,61280,COL,CO,170,COU,88,ChIJ4fBdUFXSBI8RKYUk0Gcbqkg,,COSAP,,COL.26_1
00cd1936,2020-08-21,116,,47,,,,,,,,3,-3,2,4,1,-2,2,4,2,2,2,4,0,-3,-80.21,-87.04,-80.95,-75.0,2,Colombia,"Archipiélago de San Andrés Providencia y Santa Catalina",,13.353055955,-81.375278475,61280,COL,CO,170,COU,88,ChIJ4fBdUFXSBI8RKYUk0Gcbqkg,,COSAP,,COL.26_1
